Problem,Error Type,Correct Answer,Incorrect Answer
"There are 103 cookies, and they need to be divided equally among 89 friends. How many cookies does each friend get?",Division Error,1.15730337078652,1.32241271291537
"There are 57 apples. If you add 162 more apples, how many apples do you have?",Addition Error,219,262
"There are 76 balloons. If 93 balloons pop, how many balloons are left?",Subtraction Error,-17,58
"There are 53 balloons. If 134 balloons pop, how many balloons are left?",Subtraction Error,-81,7
"There are 62 balloons. If 55 balloons pop, how many balloons are left?",Subtraction Error,7,17
"There are 37 apples. If you add 123 more apples, how many apples do you have?",Addition Error,160,171
"There are 8 cookies, and they need to be divided equally among 99 friends. How many cookies does each friend get?",Division Error,0.0808080808080808,0.377704871974189
"There are 156 apples. If you add 36 more apples, how many apples do you have?",Addition Error,192,260
"There are 166 balloons. If 75 balloons pop, how many balloons are left?",Subtraction Error,91,125
"John has 132 boxes, and each box contains 141 chocolates. How many chocolates does he have in total?",Multiplication Error,18612,18622
"John has 78 boxes, and each box contains 190 chocolates. How many chocolates does he have in total?",Multiplication Error,14820,14827
"There are 116 balloons. If 73 balloons pop, how many balloons are left?",Subtraction Error,43,116
"There are 113 balloons. If 192 balloons pop, how many balloons are left?",Subtraction Error,-79,-13
"John has 91 boxes, and each box contains 157 chocolates. How many chocolates does he have in total?",Multiplication Error,14287,14292
"John has 160 boxes, and each box contains 101 chocolates. How many chocolates does he have in total?",Multiplication Error,16160,16169
"There are 19 cookies, and they need to be divided equally among 79 friends. How many cookies does each friend get?",Division Error,0.240506329113924,0.974904040043695
"John has 78 boxes, and each box contains 188 chocolates. How many chocolates does he have in total?",Multiplication Error,14664,14667
"There are 132 balloons. If 70 balloons pop, how many balloons are left?",Subtraction Error,62,68
"There are 69 cookies, and they need to be divided equally among 113 friends. How many cookies does each friend get?",Division Error,0.610619469026549,0.859207505858275
"There are 53 apples. If you add 43 more apples, how many apples do you have?",Addition Error,96,102
"John has 188 boxes, and each box contains 59 chocolates. How many chocolates does he have in total?",Multiplication Error,11092,11097
"There are 103 apples. If you add 108 more apples, how many apples do you have?",Addition Error,211,273
"There are 131 apples. If you add 64 more apples, how many apples do you have?",Addition Error,195,259
"John has 189 boxes, and each box contains 82 chocolates. How many chocolates does he have in total?",Multiplication Error,15498,15505
"John has 186 boxes, and each box contains 71 chocolates. How many chocolates does he have in total?",Multiplication Error,13206,13209
"John has 41 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,287,292
"There are 147 balloons. If 61 balloons pop, how many balloons are left?",Subtraction Error,86,103
"There are 177 apples. If you add 183 more apples, how many apples do you have?",Addition Error,360,459
"There are 69 balloons. If 98 balloons pop, how many balloons are left?",Subtraction Error,-29,64
"There are 139 cookies, and they need to be divided equally among 96 friends. How many cookies does each friend get?",Division Error,1.44791666666667,2.11956267132969
"There are 71 cookies, and they need to be divided equally among 37 friends. How many cookies does each friend get?",Division Error,1.91891891891892,2.0405193325213
"There are 124 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,12.4,12.7350910640263
"There are 26 balloons. If 67 balloons pop, how many balloons are left?",Subtraction Error,-41,-31
"There are 134 balloons. If 144 balloons pop, how many balloons are left?",Subtraction Error,-10,-2
"There are 129 balloons. If 146 balloons pop, how many balloons are left?",Subtraction Error,-17,74
"There are 145 cookies, and they need to be divided equally among 125 friends. How many cookies does each friend get?",Division Error,1.16,1.83838719793965
"There are 192 balloons. If 182 balloons pop, how many balloons are left?",Subtraction Error,10,22
"John has 91 boxes, and each box contains 171 chocolates. How many chocolates does he have in total?",Multiplication Error,15561,15568
"There are 164 cookies, and they need to be divided equally among 112 friends. How many cookies does each friend get?",Division Error,1.46428571428571,2.10918545840867
"John has 76 boxes, and each box contains 165 chocolates. How many chocolates does he have in total?",Multiplication Error,12540,12541
"John has 49 boxes, and each box contains 126 chocolates. How many chocolates does he have in total?",Multiplication Error,6174,6182
"John has 145 boxes, and each box contains 139 chocolates. How many chocolates does he have in total?",Multiplication Error,20155,20163
"John has 10 boxes, and each box contains 64 chocolates. How many chocolates does he have in total?",Multiplication Error,640,650
"There are 14 balloons. If 79 balloons pop, how many balloons are left?",Subtraction Error,-65,-23
"There are 76 apples. If you add 147 more apples, how many apples do you have?",Addition Error,223,323
"There are 35 apples. If you add 67 more apples, how many apples do you have?",Addition Error,102,174
"There are 103 cookies, and they need to be divided equally among 112 friends. How many cookies does each friend get?",Division Error,0.919642857142857,1.6445207699705
"There are 174 cookies, and they need to be divided equally among 81 friends. How many cookies does each friend get?",Division Error,2.14814814814815,2.59851319984592
"There are 116 apples. If you add 191 more apples, how many apples do you have?",Addition Error,307,400
"There are 12 apples. If you add 73 more apples, how many apples do you have?",Addition Error,85,140
"John has 27 boxes, and each box contains 191 chocolates. How many chocolates does he have in total?",Multiplication Error,5157,5164
