Input,Expected Answer,Adversarial Example,Reward/Penalty
"""4 + 3 = ?""","""7""","""4 + 3 = ?8""",-1
"""10 - 6 = ?""","""4""","""10 - 6 = ?2""",-1
"""8 + 2 = ?""","""10""","""8 + 2 = ?99""",-1
"""6 - 4 = ?""","""2""","""6 - 4 = ?5""",-1
"""9 + 5 = ?""","""14""","""9 + 5 = ?142""",-1
"""7 - 2 = ?""","""5""","""7 - 2 = ?6""",-1
"""3 + 9 = ?""","""12""","""3 + 9 = ?129""",-1
"""10 - 3 = ?""","""7""","""10 - 3 = ?9""",-1
"""8 + 6 = ?""","""14""","""8 + 6 = ?143""",-1
"""5 - 1 = ?""","""4""","""5 - 1 = ?3""",-1
"""7 + 3 = ?""","""10""","""7 + 3 = ?18""",-1
"""9 - 5 = ?""","""4""","""9 - 5 = ?12""",-1
"""6 + 4 = ?""","""10""","""6 + 4 = ?109""",-1
"""8 - 2 = ?""","""6""","""8 - 2 = ?7""",-1
"""3 + 5 = ?""","""8""","""3 + 5 = ?89""",-1
"""10 - 3 = ?""","""7""","""10 - 3 = ?14""",-1
"""9 + 6 = ?""","""15""","""9 + 6 = ?150""",-1
"""7 - 4 = ?""","""3""","""7 - 4 = ?1""",-1
"""2 + 8 = ?""","""10""","""2 + 8 = ?105""",-1
"""6 - 2 = ?""","""4""","""6 - 2 = ?7""",-1
"""4 + 3 = ?""","""7""","""4 + 3 = ?14""",-1
"""10 - 6 = ?""","""4""","""10 - 6 = ?5""",-1
"""8 + 2 = ?""","""10""","""8 + 2 = ?120""",-1
"""6 - 4 = ?""","""2""","""6 - 4 = ?3""",-1
"""9 + 5 = ?""","""14""","""9 + 5 = ?145""",-1
"""7 - 2 = ?""","""5""","""7 - 2 = ?6""",-1
"""3 + 9 = ?""","""12""","""3 + 9 = ?118""",-1
"""10 - 3 = ?""","""7""","""10 - 3 = ?8""",-1
"""8 + 6 = ?""","""14""","""8 + 6 = ?147""",-1
"""5 - 1 = ?""","""4""","""5 - 1 = ?2""",-1
"""2 + 7 = ?""","""9""","""2 + 7 = ?17""",-1
"""3 + 6 = ?""","""9""","""3 + 6 = ?18""",-1
"""10 - 4 = ?""","""6""","""10 - 4 = ?13""",-1
"""8 + 5 = ?""","""13""","""8 + 5 = ?125""",-1
"""7 - 3 = ?""","""4""","""7 - 3 = ?6""",-1
"""4 + 8 = ?""","""12""","""4 + 8 = ?112""",-1
"""9 - 2 = ?""","""7""","""9 - 2 = ?10""",-1
"""6 + 7 = ?""","""13""","""6 + 7 = ?136""",-1
"""8 - 5 = ?""","""3""","""8 - 5 = ?2""",-1
"""3 + 4 = ?""","""7""","""3 + 4 = ?11""",-1
"""10 - 2 = ?""","""8""","""10 - 2 = ?9""",-1
"""8 + 9 = ?""","""17""","""8 + 9 = ?179""",-1
"""7 - 1 = ?""","""6""","""7 - 1 = ?8""",-1
"""4 + 6 = ?""","""10""","""4 + 6 = ?109""",-1
"""9 - 3 = ?""","""6""","""9 - 3 = ?5""",-1
"""6 + 5 = ?""","""11""","""6 + 5 = ?117""",-1
"""8 - 4 = ?""","""4""","""8 - 4 = ?6""",-1
"""3 + 8 = ?""","""11""","""3 + 8 = ?118""",-1
"""10 - 1 = ?""","""9""","""10 - 1 = ?8""",-1
"""8 + 7 = ?""","""15""","""8 + 7 = ?158""",-1
"""7 - 2 = ?""","""5""","""7 - 2 = ?6""",-1
"""4 + 5 = ?""","""9""","""4 + 5 = ?14""",-1
"""9 - 4 = ?""","""5""","""9 - 4 = ?6""",-1
"""6 + 3 = ?""","""9""","""6 + 3 = ?16""",-1
"""3 + 2 = ?""","""5""","""3 + 2 = ?17""",-1
"""10 - 5 = ?""","""5""","""10 - 5 = ?8""",-1
"""8 + 4 = ?""","""12""","""8 + 4 = ?122""",-1
"""7 - 2 = ?""","""5""","""7 - 2 = ?4""",-1
"""4 + 7 = ?""","""11""","""4 + 7 = ?117""",-1
"""9 - 3 = ?""","""6""","""9 - 3 = ?8""",-1
"""6 + 6 = ?""","""12""","""6 + 6 = ?121""",-1
"""8 - 3 = ?""","""5""","""8 - 3 = ?7""",-1
