,sQuestion,lSolutions,lEquations
0,The sum of two numbers is 18 and their difference is 4 . What are the two numbers ?,"[11.0, 7.0]","['x+y=18.0', 'x-y=4.0']"
1,Two numbers have a sum of 22 . Their difference is 4 . what are the two numbers ?,"[13.0, 9.0]","['x+y=22.0', 'x-y=4.0']"
2,Two numbers have a difference of 10 and the sum of 34 . What are the numbers ?,"[22.0, 12.0]","['x-y=10.0', 'x+y=34.0']"
3,The sum of two numbers is 38 . Their difference is 12 . What are the two numbers ?,"[25.0, 13.0]","['x+y=38.0', 'x-y=12.0']"
4,The sum of two numbers is 39 and their difference is 7 . What are the numbers ?,"[23.0, 16.0]","['x+y=39.0', 'x-y=7.0']"
5,The sum of two numbers is 20 . Their difference is 4 . Find the two numbers .,"[12.0, 8.0]","['x+y=20.0', 'x-y=4.0']"
6,"one number exceeds another by 5 , and their sum is 29 ; find them .","[12.0, 17.0]","['y-x=5.0', 'x+y=29.0']"
7,"The sum of two numbers is 621 , and their difference is 109 . Find the two numbers","[365.0, 256.0]","['x+y=621.0', 'x-y=109.0']"
8,Find two numbers whose sum is 55 and whose difference is 13 .,"[21.0, 34.0]","['m+n=55.0', 'm-n=13.0']"
9,a number exceeds another number by 5 . the sum of the numbers is 19 . find the numbers,"[12.0, 7.0]","['x=y+5.0', 'x+y=19.0']"
10,One number exceeds another by -6 . The sum of the numbers is 12 . What are the numbers ?,"[3.0, 9.0]","['x=y+(-6.0)', 'x+y=12.0']"
11,Two numbers have a sum of 39 . Their difference is 11 . What are the two numbers ?,"[25.0, 14.0]","['x+y=39.0', 'x-y=11.0']"
12,"The sum of two numbers is 2 . If one number is subtracted from the other , the result is 8 . Find the numbers .","[5.0, -3.0]","['x+y=2.0', 'x-y=8.0']"
13,Find two numbers whose sum is 64 and whose difference is 42 .,"[53.0, 11.0]","['x+y=64.0', 'x-y=42.0']"
14,The sum of two numbers is 70 . One number is eight more than the other . What are the two numbers ?,"[39.0, 31.0]","['x+y=70.0', 'x-8.0=y']"
15,the sum of 2 numbers is 75 . the larger number is 3 more than the smaller number . What 're the numbers ?,"[39.0, 36.0]","['x+y=75.0', 'x-3.0=y']"
16,the sum of two integers is 42 . their difference is 8 find the integers .,"[17.0, 25.0]","['x+y=42.0', 'y-x=8.0']"
17,"if a number is 2 more than a second and their sum is 30 , find the numbers .","[14.0, 16.0]","['y=x+2.0', 'x+y=30.0']"
18,the sum of two numbers is 50 . The difference between these numbers is 10 than find the numbers,"[30.0, 20.0]","['x+y=50.0', 'x-y=10.0']"
19,the sum of two numbers is 64 the smaller number is 12 less than the larger number . What are the two numbers ?,"[26.0, 38.0]","['x+y=64.0', 'x=y-12.0']"
20,The sum of two numbers is 55 . The smaller is 5 less than the larger what are the numbers,"[25.0, 30.0]","['x+y=55.0', 'x=y-5.0']"
21,"the sum of two numbers is 35 . if the larger number is 7 greater than the smaller number , find the numbers","[14.0, 21.0]","['x+y=35.0', 'y-x=7.0']"
22,The sum of two integers is zero . The difference of the same two integers is 16 . What are the two integers ?,"[-8.0, 8.0]","['x+y=0.0', 'y-x=16.0']"
