Problem,Error Type,Correct Answer,Incorrect Answer
"There are 2 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,-5,5
"There are 18 apples. If you add 3 more apples, how many apples do you have?",Addition Error,21,29
"There are 3 apples. If you add 4 more apples, how many apples do you have?",Addition Error,7,17
"There are 2 apples. If you add 1 more apples, how many apples do you have?",Addition Error,3,10
"There are 3 balloons. If 3 balloons pop, how many balloons are left?",Subtraction Error,0,4
"There are 17 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,10,16
"John has 7 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,21,27
"John has 2 boxes, and each box contains 10 chocolates. How many chocolates does he have in total?",Multiplication Error,20,27
"There are 19 balloons. If 7 balloons pop, how many balloons are left?",Subtraction Error,12,17
"John has 10 boxes, and each box contains 4 chocolates. How many chocolates does he have in total?",Multiplication Error,40,49
"There are 3 cookies, and they need to be divided equally among 10 friends. How many cookies does each friend get?",Division Error,0.3,0.882358555379413
"There are 2 cookies, and they need to be divided equally among 8 friends. How many cookies does each friend get?",Division Error,0.25,0.530792635364177
"There are 15 apples. If you add 4 more apples, how many apples do you have?",Addition Error,19,26
"There are 9 cookies, and they need to be divided equally among 4 friends. How many cookies does each friend get?",Division Error,2.25,2.95870547192732
"John has 14 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,98,101
"John has 13 boxes, and each box contains 7 chocolates. How many chocolates does he have in total?",Multiplication Error,91,95
"There are 2 balloons. If 2 balloons pop, how many balloons are left?",Subtraction Error,0,7
"John has 1 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,8,18
"John has 7 boxes, and each box contains 6 chocolates. How many chocolates does he have in total?",Multiplication Error,42,49
"There are 19 balloons. If 3 balloons pop, how many balloons are left?",Subtraction Error,16,17
"There are 12 apples. If you add 4 more apples, how many apples do you have?",Addition Error,16,24
"There are 8 apples. If you add 5 more apples, how many apples do you have?",Addition Error,13,17
"John has 9 boxes, and each box contains 8 chocolates. How many chocolates does he have in total?",Multiplication Error,72,79
"John has 18 boxes, and each box contains 3 chocolates. How many chocolates does he have in total?",Multiplication Error,54,61
"There are 15 apples. If you add 3 more apples, how many apples do you have?",Addition Error,18,20
"There are 16 apples. If you add 4 more apples, how many apples do you have?",Addition Error,20,24
"There are 14 apples. If you add 4 more apples, how many apples do you have?",Addition Error,18,25
"There are 11 balloons. If 5 balloons pop, how many balloons are left?",Subtraction Error,6,8
"There are 17 cookies, and they need to be divided equally among 7 friends. How many cookies does each friend get?",Division Error,2.42857142857143,2.95996557884786
